# Coordenadas para las pruebas de keepalive (tools/medir_keepalive.py).
#
# Ubicaciones PUBLICAS de Lima (zona Jesus Maria / Lince / San Isidro) con
# cobertura registrada -- NO son domicilios de clientes. Se rotan al azar en
# cada ping para no repetir siempre el mismo query contra WinForce (buena
# practica de cliente: reparte la carga y no martillea una sola coordenada
# cientos de veces).
#
# Las primeras 10 son las que dio el usuario; forman un poligono. Las 39
# siguientes se generaron con una rejilla + jitter dentro de ese poligono
# (convex hull), descartando las que caian fuera o demasiado cerca de otra
# (script: se conserva en el historial del repo). Total: 49.
#
# Formato: una coordenada por linea, "lat, lon". Lineas vacias y las que
# empiezan por '#' se ignoran.

# --- 10 base (usuario) ---
-12.0712441748165, -77.03826026511716
-12.063877213667501, -77.04326554484533
-12.065493554702455, -77.02953115727665
-12.057527207575193, -77.0408649786354
-12.062260862664193, -77.04716154605693
-12.052716496803216, -77.03354521899678
-12.058066001705464, -77.04680736412837
-12.053332272583939, -77.04047144316046
-12.055987789450054, -77.02547774198794
-12.050676729437065, -77.04956211237528

# --- 39 dentro del poligono ---
-12.063213385306799, -77.046053230799927
-12.061703818264130, -77.045725093754768
-12.059235722579917, -77.046716106660583
-12.055808953129812, -77.047144503459307
-12.053789647374357, -77.047549335845602
-12.064419513032149, -77.042888931477265
-12.060603870273187, -77.042896541666835
-12.059009538279202, -77.043877673029769
-12.056112663649133, -77.042577496992962
-12.053973430075036, -77.044399260024051
-12.068486573439170, -77.039798169965209
-12.065688876323851, -77.039883236759664
-12.062679939318755, -77.040454127037393
-12.060866797128174, -77.040786447996794
-12.058176227207703, -77.039836291885180
-12.055679383879950, -77.039768218721136
-12.054065017925405, -77.040099362391032
-12.069052272405120, -77.038093349568939
-12.066583196745986, -77.038405466177522
-12.063930952930910, -77.038360769750454
-12.061203707094689, -77.037233988170613
-12.058912307553651, -77.037793505527858
-12.055032764710958, -77.038010994020311
-12.053051262334646, -77.037207960014854
-12.068260895765160, -77.035202417510945
-12.066319251663167, -77.035218720546723
-12.063279432025492, -77.033477767985318
-12.060628210818475, -77.034389365994969
-12.057892817807625, -77.033786860777724
-12.056660647266122, -77.035080380209990
-12.053665645583628, -77.034898291883323
-12.063719209001963, -77.031171265875884
-12.061034504450790, -77.030625224286510
-12.058845503632766, -77.031994321985891
-12.056245573195081, -77.031369508458383
-12.064346415480236, -77.029350398594786
-12.060731093670396, -77.029310906842355
-12.058529606384580, -77.027872765371896
-12.056031634807065, -77.029408102320374
